page,line,newcase_mark,text
1,6,,Case Number/Title Dates Category/ Event
1,7,New Case,1:17-mj-00459-BAH *SEALED* Entered: Category: misc-cr Event: Application and
1,8,,USA v. INFORMATION ASSOCIATED 07/07/2017 Affidavit for
1,9,,WITH THE EMAIL ACCOUNT 11:15:14 Search/Seizure Warrant under Rule 41 by
1,10,,[REDACTED] Filed: USA
1,11,,07/07/2017 Document:
1,12,,5
1,13,,Application and Affidavit for Search Warrant by USA as
1,14,,to INFORMATION ASSOCIATED WITH THE EMAIL
1,15,,ACCOUNT [REDACTED].
1,16,,(Attachments: # 1 Affidavit)
1,17,New Case,1:17-mj-00460-BAH *SEALED* Entered: Category: misc-cr Event: Application and
1,18,,USA v. INFORMATION ASSOCIATED 07/07/2017 Affidavit for
1,19,,WITH THE LINKEDIN ACCOUNT 11:18:24 Search/Seizure Warrant under Rule 41 by
1,20,,[REDACTED] Filed: USA
1,21,,07/07/2017 Document:
1,22,,5
1,23,,Application and Affidavit for Search Warrant by USA as
1,24,,to INFORMATION ASSOCIATED WITH THE
1,25,,LINKEDIN ACCOUNT [REDACTED]. (Attachments: #
1,26,,1 Affidavit)
1,27,New Case,1:17-mj-00475-BAH *SEALED* Entered: Category:
1,28,,USA v. ELECTRONIC DEVICES TO BE 07/07/2017 misc-cr
1,29,,PROVIDED TO A
1,30,,GRAND JURY IN THE DISTRICT OF Event:
1,31,,"COLUMBIA, IN"
1,32,,RESPONSE TO GRAND JURY 13:01:02 Application
1,33,,"SUBPOENA 17-1/2006, BY"
1,34,,SUBPOENA RECIPIENT [REDACTED] Filed: and Affidavit
1,35,,07/07/2017 for
1,36,,Search/Seizure
1,37,,Warrant under
1,38,,Rule 41 by
1,39,,USA
1,40,,Document:
1,41,,1
1,42,,1
1,43,,
2,2,,Application and Affidavit for Search Warrant by USA as
2,3,,to ELECTRONIC DEVICES TO BE PROVIDED TO A
2,4,,"GRAND JURY IN THE DISTRICT OF COLUMBIA, IN"
2,5,,"RESPONSE TO GRAND JURY SUBPOENA 17-1/2006,"
2,6,,BY SUBPOENA RECIPIENT [REDACTED].
2,7,,(Attachments: # 1 Affidavit)
2,8,New Case,1:17-mj-00477-BAH *SEALED* Entered: Category: misc-cr Event: Application and
2,9,,USA v. ELECTRONIC DEVICES TO BE 07/07/2017 Affidavit for
2,10,,PROVIDED TO A GRAND JURY IN 13:06:35 Search/Seizure Warrant under Rule 41 by
2,11,,"THE DISTRICT OF COLUMBIA, IN Filed: USA"
2,12,,RESPONSE TO GRAND JURY 07/07/2017 Document:
2,13,,"SUBPOENA17-1/2008, BY SUBPOENA 1"
2,14,,RECIPIENT [REDACTED]
2,15,,Application and Affidavit for Search Warrant by USA as
2,16,,to ELECTRONIC DEVICES TO BE PROVIDED TO A
2,17,,"GRAND JURY IN THE DISTRICT OF COLUMBIA, IN"
2,18,,"RESPONSE TO GRAND JURY SUBPOENA17-1/2008,"
2,19,,BY SUBPOENA RECIPIENT [REDACTED].
2,20,,(Attachments: # 1 Affidavit)
2,21,New Case,1:17-mj-00478-BAH *SEALED* Entered: Category: misc-cr Event: Application and
2,22,,USA v. ELECTRONIC DEVICES TO BE 07/07/2017 Affidavit for
2,23,,PROVIDED TO A GRAND JURY IN 13:12:15 Search/Seizure Warrant under Rule 41 by
2,24,,"THE DISTRICT OF COLUMBIA, IN Filed: USA"
2,25,,RESPONSE TO GRAND JURY 07/07/2017 Document:
2,26,,"SUBPOENA 17-1/2007, BY SUBPOENA 1"
2,27,,RECIPIENT [REDACTED]
2,28,,Application and Affidavit for Search Warrant by USA as
2,29,,to ELECTRONIC DEVICES TO BE PROVIDED TO A
2,30,,"GRAND JURY IN THE DISTRICT OF COLUMBIA, IN"
2,31,,"RESPONSE TO GRAND JURY SUBPOENA 17-1/2007,"
2,32,,BY SUBPOENA RECIPIENT [REDACTED].
2,33,,(Attachments: # 1 Affidavit)
2,34,New Case,1:17-mj-00493-BAH *SEALED* Entered: Category:
2,35,,USA v. IN THE MATTER OF THE 07/13/2017 misc-cr
2,36,,SEARCH OF
2,37,,INFORMATION Event:
2,38,,16:51:07 Application
2,39,,Filed: and Affidavit
2,40,,07/13/2017 for
2,41,,2
2,42,,
3,2,,Search/Seizure
3,3,,Warrant under
3,4,,Rule 41 by
3,5,,USA
3,6,,Document:
3,7,,1
3,8,,Application and Affidavit for Search Warrant by USA as
3,9,,to IN THE MATTER OF THE SEARCH OF
3,10,,INFORMATION. (Attachments: # 1 Affidavit)
3,11,New Case,1:17-mj-00496-BAH *SEALED* Entered: Category: misc-cr Event: Application and
3,12,,USA v. IN THE MATTER OF THE 07/14/2017 Affidavit for
3,13,,SEARCH OF HARD DRIVE WITH 14:01:53 Search/Seizure Warrant under Rule 41 by
3,14,,SERIAL NUMBER [REDACTED] Filed: USA
3,15,,07/14/2017 Document:
3,16,,1
3,17,,Application and Affidavit for Search Warrant by USA as
3,18,,to IN THE MATTER OF THE SEARCH OF HARD
3,19,,DRIVE WITH SERIAL NUMBER [REDACTED].
3,20,,(Attachments: # 1 Affidavit)
3,21,New Case,1:17-mj-00499-BAH *SEALED* Entered: Category: misc-cr Event: Application and
3,22,,USA v. INFORMATION ASSOCIATED 07/17/2017 Affidavit for
3,23,,WITH SKYPE ACCOUNTS 14:15:22 Search/Seizure Warrant under Rule 41 by
3,24,,[REDACTED] AND [REDACTED] Filed: USA
3,25,,07/17/2017 Document:
3,26,,1
3,27,,Application and Affidavit for Search Warrant by USA as
3,28,,toINFORMATION ASSOCIATED WITH SKYPE
3,29,,ACCOUNTS [REDACTED] AND [REDACTED].
3,30,,(Attachment: # 1 Affidavit)
3,31,New Case,1:17-mj-00503-BAH *SEALED* Entered: Category: misc-cr Event: Application and
3,32,,USA v. INFORMATION ASSOCIATED 07/18/2017 Affidavit for
3,33,,WITH EMAIL ACCOUNT [REDACTED] 16:49:47 Search/Seizure Warrant under Rule 41 by
3,34,,Filed: USA
3,35,,07/18/2017 Document:
3,36,,1
3,37,,Application and Affidavit for Search Warrant by USA as
3,38,,to INFORMATION ASSOCIATED WITH EMAIL
3,39,,ACCOUNT [REDACTED].
3,40,,(Attachments: # 1 Affidavit)
3,41,,3
3,42,,
4,2,New Case,1:17-mj-00522-BAH *SEALED* Entered: Category: misc-cr Event: Application and
4,3,,USA v. INFORMATION ASSOCIATED 07/26/2017 Affidavit for
4,4,,WITH THE EMAIL ACCOUNT 11:18:12 Search/Seizure Warrant under Rule 41 by
4,5,,[REDACTED] Filed: USA
4,6,,07/24/2017 Document:
4,7,,1
